lat,long,store
41.1299018,-85.13768715,Walmart1
41.17662066,-85.168291,Walmart2
41.06858855,-85.20470036,Walmart3
41.1291112,-85.00718018,Walmart4
41.01797358,-85.12228851,Walmart5
41.12626614,-85.15897006,Costco1
41.18157516,-85.13425085,Kroger1
41.11669623,-85.12910843,Kroger2
41.12380871,-85.13477325,ALDI1
41.13402347,-85.16687393,GORDON FOOD
